"tconst","primaryTitle","genres","startYear","runtimeMinutes","averageRating","numVotes"
tt0372183,The Bourne Supremacy,"Action,Mystery,Thriller",2004,108,7.7,491337
tt0327056,Mystic River,"Crime,Drama,Mystery",2003,138,7.9,491140
tt9419884,Doctor Strange in the Multiverse of Madness,"Action,Adventure,Fantasy",2022,126,6.9,489820
tt2103281,Dawn of the Planet of the Apes,"Action,Adventure,Drama",2014,130,7.6,489573
tt0099088,Back to the Future Part III,"Adventure,Comedy,Sci-Fi",1990,118,7.4,487377
tt2980516,The Theory of Everything,"Biography,Drama,Romance",2014,123,7.7,486309
tt3397884,Sicario,"Action,Crime,Drama",2015,121,7.7,485905
tt1515091,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Mystery",2011,129,7.4,484718
tt0101414,Beauty and the Beast,"Animation,Family,Fantasy",1991,84,8.0,483725
tt0319262,The Day After Tomorrow,"Action,Adventure,Sci-Fi",2004,124,6.5,482577
tt0974015,Justice League,"Action,Adventure,Fantasy",2017,120,6.1,482496
tt0407304,War of the Worlds,"Action,Adventure,Sci-Fi",2005,116,6.5,480220
tt0317219,Cars,"Adventure,Animation,Comedy",2006,116,7.2,480213
tt0458352,The Devil Wears Prada,"Comedy,Drama",2006,109,6.9,479874
tt0139654,Training Day,"Crime,Drama,Thriller",2001,122,7.7,479815
tt0217505,Gangs of New York,"Crime,Drama",2002,167,7.5,477777
tt0325710,The Last Samurai,"Action,Drama",2003,154,7.8,476769
tt0117060,Mission: Impossible,"Action,Adventure,Thriller",1996,110,7.2,475897
tt0084787,The Thing,"Horror,Mystery,Sci-Fi",1982,109,8.2,475334
