"tconst","primaryTitle","startYear","runtimeMinutes","averageRating","numVotes"
tt1772341,Wreck-It Ralph,2012,101,7.7,465271
tt0382625,The Da Vinci Code,2006,149,6.6,463167
tt0093773,Predator,1987,107,7.8,462587
tt0319061,Big Fish,2003,125,8.0,462086
tt0070047,The Exorcist,1973,122,8.1,461772
tt0347149,Howl's Moving Castle,2004,119,8.2,459872
tt0765429,American Gangster,2007,157,7.8,458357
tt2283362,Jumanji: Welcome to the Jungle,2017,119,7.0,458106
tt0087332,Ghostbusters,1984,105,7.8,457861
tt1259521,The Cabin in the Woods,2011,95,7.0,457681
tt12593682,Bullet Train,2022,127,7.3,456958
tt1355644,Passengers,2016,116,7.0,456835
tt3170832,Room,2015,118,8.1,456205
tt0120591,Armageddon,1998,151,6.7,455935
tt0093779,The Princess Bride,1987,98,8.0,455745
tt0942385,Tropic Thunder,2008,107,7.1,454090
tt1605783,Midnight in Paris,2011,94,7.6,453379
tt1637688,In Time,2011,109,6.7,453270
tt0289043,"28 Days Later",2002,113,7.5,453088
tt11564570,Glass Onion,2022,139,7.1,453055
tt5580390,The Shape of Water,2017,123,7.3,451585
tt0360717,King Kong,2005,187,7.2,451438
tt0375679,Crash,2004,112,7.7,451074
tt2382320,No Time to Die,2021,163,7.3,450655
tt0119567,The Lost World: Jurassic Park,1997,129,6.6,449087
tt2584384,Jojo Rabbit,2019,108,7.9,448890
tt1217209,Brave,2012,93,7.1,448633
tt0092005,Stand by Me,1986,89,8.1,448502
tt0443453,Borat,2006,84,7.4,448227
tt0217869,Unbreakable,2000,106,7.3,447074
tt0831387,Godzilla,2014,123,6.4,446853
tt1014759,Alice in Wonderland,2010,108,6.4,445321
tt0091763,Platoon,1986,120,8.1,444538
tt9376612,Shang-Chi and the Legend of the Ten Rings,2021,132,7.4,444397
tt12361974,Zack Snyder's Justice League,2021,242,7.9,444301
tt0377092,Mean Girls,2004,97,7.1,444028
tt0351283,Madagascar,2005,86,6.9,443840
tt0088847,The Breakfast Club,1985,97,7.8,443501
tt0083866,E.T. the Extra-Terrestrial,1982,115,7.9,442403
tt0119698,Princess Mononoke,1997,134,8.3,441297
tt0105695,Unforgiven,1992,130,8.2,441026
tt0163651,American Pie,1999,95,7.0,439352
tt0315327,Bruce Almighty,2003,101,6.8,439200
tt1245492,This Is the End,2013,107,6.6,438193
tt0369339,Collateral,2004,120,7.5,438016
tt1302006,The Irishman,2019,209,7.8,437529
tt0119174,The Game,1997,129,7.7,436752
tt1399103,Transformers: Dark of the Moon,2011,154,6.2,435628
tt6146586,John Wick: Chapter 3 - Parabellum,2019,130,7.4,434488
tt3480822,Black Widow,2021,134,6.6,434432
tt0032138,The Wizard of Oz,1939,102,8.1,433562
tt0086879,Amadeus,1984,160,8.4,433151
